Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2316	8,8,8	0.30188697576522827,0.30188697576522827,0.288191556930542	2,2,2	2,2,2	4,4,4	2,2,2	2.83,2.83,2.83	1,1,1	0,0,0	0,375,545	0,0,1	0,0,2	0,0,4	6239.json
892	3,3	0.10181359946727753,0.08775418251752853	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,0	0,1	0,2	0,10	7359.json
673	3	0.8143717646598816	0	0	0	1	2.0	0	2	0	0	0	0	7760.json
4842	3,3,3,3	0.5232890248298645,0.5232890248298645,0.5232890248298645,0.5232890248298645	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	0,575,1853,2901	0,0,0,0	0,0,0,0	0,0,0,0	8264.json
5626	7,9,9,9,10,10,12,10	0.5084224939346313,0.015931319445371628,0.015931319445371628,0.015931319445371628,0.006256415043026209,0.006256415043026209,0.006079433020204306,0.008510401472449303	1,1,1,1,1,1,2,1	1,1,1,1,1,1,2,1	2,2,2,2,2,2,4,2	2,2,2,2,2,2,3,2	1.81,2.27,2.27,2.27,2.15,2.15,2.31,2.15	0,1,1,1,1,1,1,1	3,3,3,3,6,6,7,4	0,282,1360,2637,2983,3685,3728,4655	0,3,0,0,1,0,3,1	0,4,0,0,1,0,4,4	0,28,0,0,115,0,61,142	9512.json
4367	3,3,3,3,3	0.6220933198928833,0.6220933198928833,0.6220933198928833,0.6264063119888306,0.6264063119888306	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	0,0,0,0,0	0,51,51,1378,2429	0,0,0,0,0	0,0,0,0,0	0,0,0,3,0	1490.json
2316	3,3,3,3	0.2225460559129715,0.895224392414093,0.8944804072380066,0.8944804072380066	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,10,100,375	0,3,1,0	0,5,2,0	0,20,5,0	6364.json
5494	3,6,6,6,6,6,6,6	0.7444546222686768,0.18583086133003235,0.18583086133003235,0.18583086133003235,0.18583086133003235,0.18583086133003235,0.18583086133003235,0.18583086133003235	0,1,1,1,1,1,1,1	0,1,1,1,1,1,1,1	0,2,2,2,2,2,2,2	1,2,2,2,2,2,2,2	1.89,2.75,2.75,2.75,2.75,2.75,2.75,2.75	0,1,1,1,1,1,1,1	0,2,2,2,2,2,2,2	0,56,687,1178,1178,2505,3552,4678	0,5,0,0,0,0,0,0	0,7,0,0,0,0,0,0	0,90,0,0,0,0,0,0	9233.json
651	5,5	0.22995400428771973,0.22989414632320404	4,4	2,2	6,6	2,2	2.99,2.99	1,1	3,3	0,641	0,1	0,2	0,8	7064.json
5491	9,15,15,15,15,15,6,6,6	0.13049887120723724,0.08294770121574402,0.11326058954000473,0.080595962703228,0.07492757588624954,0.07492757588624954,0.257898211479187,0.257898211479187,0.250395268201828	2,3,3,3,3,3,1,1,1	2,3,3,3,3,3,1,1,1	4,6,6,6,6,6,2,2,2	2,4,4,4,4,4,2,2,2	3.14,5.1,5.1,5.1,5.1,5.1,2.75,2.75,2.75	1,3,3,3,3,3,1,1,1	7,11,10,10,10,10,4,4,4	0,151,459,775,1174,2502,3366,3553,4328	0,12,1,1,1,0,6,0,1	0,18,2,2,2,0,21,0,2	0,400,80,11,158,0,295,0,6	3018.json
