Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
958	13,19,19,19,24,30,31,31,31,31,29,29,25,25,26,21,26,26,27,27,23,23,23,23,23,24,24,14	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726540681906044E-4,3.496455610729754E-4,0.0018401533598080277,0.0018401533598080277,0.0017446386627852917,0.0017239477019757032,7.639603572897613E-4,2.092318027280271E-4,2.092318027280271E-4,0.00269589526578784	2,4,4,4,6,8,10,10,10,10,7,7,6,6,6,5,5,5,4,3,0,0,0,0,0,0,0,0	2,4,4,4,5,7,8,8,8,8,6,6,5,5,5,4,4,4,4,3,0,0,0,0,0,0,0,0	4,8,8,8,11,15,18,18,18,18,13,13,11,11,11,9,9,9,8,6,0,0,0,0,0,0,0,0	3,5,5,5,7,9,9,9,9,9,8,8,7,7,7,6,7,7,7,7,6,6,6,6,6,6,6,4	4.28,4.58,4.58,4.58,5.15,5.51,5.45,5.45,5.45,5.45,4.9,4.9,5.68,5.68,5.68,5.98,8.57,8.57,7.36,7.36,6.68,6.68,6.68,6.68,6.68,6.59,6.59,4.94	1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,1	18,21,21,19,24,27,28,30,30,30,26,26,26,27,27,23,25,26,18,17,12,12,12,11,11,11,11,7	32.0,35.0,35.0,35.0,41.0,43.0,45.0,47.0,47.0,47.0,43.0,43.0,43.0,45.0,47.0,43.0,48.0,49.0,37.0,36.0,31.0,31.0,30.0,30.0,31.0,32.0,32.0,26.0	11.0,12.0,12.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,15.0,17.0,17.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,9.0	85.0,108.0,108.0,121.0,148.0,174.0,180.0,187.0,187.0,187.0,170.0,170.0,155.0,158.0,162.0,139.0,156.0,158.0,107.0,104.0,92.0,92.0,92.0,94.0,98.0,103.0,103.0,69.0	29.0,35.0,35.0,48.0,54.0,60.0,59.0,60.0,60.0,60.0,60.0,60.0,55.0,55.0,59.0,49.0,57.0,56.0,28.0,28.0,34.0,34.0,34.0,34.0,37.0,41.0,41.0,25.0	43.0,47.0,47.0,49.0,56.0,59.0,61.0,63.0,63.0,63.0,59.0,59.0,58.0,60.0,63.0,58.0,65.0,66.0,48.0,47.0,43.0,43.0,42.0,42.0,44.0,46.0,46.0,35.0	114.0,143.0,143.0,169.0,202.0,234.0,239.0,247.0,247.0,247.0,230.0,230.0,210.0,213.0,221.0,188.0,213.0,214.0,135.0,132.0,126.0,126.0,126.0,128.0,135.0,144.0,144.0,94.0	618.5942,794.3062,794.3062,948.886,1173.0857,1376.5386,1417.4463,1476.3882,1476.3882,1476.3882,1353.0079,1353.0079,1230.176,1258.1676,1320.9789,1101.3004,1282.7644,1293.5004,753.9699,733.20575,683.70935,683.70935,679.432,690.2166,737.02325,795.39294,795.39294,482.1526	42.18182,51.041668,51.041668,60.0,73.799995,80.625,82.96875,88.125,88.125,88.125,80.625,80.625,78.833336,82.5,86.65625,70.23333,80.47059,80.70589,47.090908,45.81818,43.916664,43.916664,42.5,42.5,44.115383,46.857143,46.857143,36.11111	26093.428,40542.715,40542.715,56933.16,86573.72,110983.42,117603.75,130106.71,130106.71,130106.71,109086.266,109086.266,96978.88,103798.83,114471.08,77347.99,103224.805,104393.09,35505.13,33594.152,30026.234,30026.234,28875.86,29334.207,32514.062,37269.84,37269.84,17411.066	1449.6349,2252.373,2252.373,3162.9534,4809.651,6165.7456,6533.5415,7228.1504,7228.1504,7228.1504,6060.348,6060.348,5387.716,5766.6016,6359.5044,4297.111,5734.7114,5799.616,1972.5072,1866.3418,1668.1241,1668.1241,1604.2144,1629.6782,1806.3368,2070.5466,2070.5466,967.2815	0.20619807,0.26476875,0.26476875,0.31629533,0.39102855,0.45884618,0.4724821,0.4921294,0.4921294,0.4921294,0.45100266,0.45100266,0.41005868,0.4193892,0.4403263,0.36710015,0.42758814,0.4311668,0.2513233,0.24440192,0.22790311,0.22790311,0.22647734,0.2300722,0.24567442,0.26513097,0.26513097,0.16071753	95.3350830078125,87.42724609375,87.42724609375,86.5025863647461,81.15508270263672,76.24849700927734,75.56502532958984,75.35316467285156,75.35316467285156,75.35316467285156,77.11736297607422,77.11736297607422,80.24666595458984,80.12966918945312,79.240966796875,83.87665557861328,79.39361572265625,79.35028076171875,81.54560852050781,81.69082641601562,84.88182067871094,84.88182067871094,84.91445922851562,84.83256530761719,84.49137115478516,83.40557861328125,83.40557861328125,95.2003173828125	0,69,69,78,78,96,97,133,142,142,155,163,288,294,294,301,301,356,356,356,356,356,356,377,377,377,455,511	0,12,0,1,8,7,4,1,1,1,3,0,2,2,2,1,6,3,30,1,2,0,2,1,3,5,0,2	0,16,0,2,8,7,6,2,2,2,8,0,9,4,4,7,7,6,61,2,9,0,4,2,6,9,0,14	0,296,0,54,345,197,81,48,9,13,130,0,178,44,110,236,182,64,1108,24,164,0,15,33,71,105,0,365	6032.json
347	2,4	0.9972735643386841,0.9577992558479309	0,0	0,0	0,0	1,1	3.77,3.61	0,0	0,0	9.0,16.0	1.0,7.0	10.0,24.0	1.0,7.0	10.0,23.0	11.0,31.0	36.541206,140.23042	4.5,8.0	164.43542,1121.8434	9.135302,62.32463	0.012180402,0.046743475	140.82913208007812,122.60694122314453	0,56	0,7	0,10	0,304	5670.json
2580	3,3,3	0.006762273143976927,0.00757574150338769,0.00757574150338769	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	13.0,13.0,13.0	5.0,5.0,5.0	20.0,20.0,20.0	7.0,7.0,7.0	18.0,18.0,18.0	27.0,27.0,27.0	112.58798,112.58798,112.58798	9.099999,9.099999,9.099999	1024.5505,1024.5505,1024.5505	56.919476,56.919476,56.919476	0.037529327,0.037529327,0.037529327	128.4090576171875,128.4090576171875,128.4090576171875	0,88,662	0,0,0	0,0,0	0,2,0	3062.json
2224	4,4,4,4,4	0.1990184336900711,0.08317574858665466,0.08995769917964935,0.213050976395607,0.22487224638462067	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	4.0,4.0,4.0,4.0,4.0	0,0,0,0,0	1,1,1,1,1	15.0,15.0,15.0,15.0,15.0	5.0,6.0,6.0,5.0,5.0	21.0,22.0,22.0,21.0,21.0	7.0,8.0,8.0,7.0,7.0	20.0,21.0,21.0,20.0,20.0	28.0,30.0,30.0,28.0,28.0	121.013985,131.76952,131.76952,121.013985,121.013985	10.5,10.0,10.0,10.5,10.5	1270.6469,1317.6952,1317.6952,1270.6469,1270.6469	70.59149,73.20529,73.20529,70.59149,70.59149	0.040337995,0.043923173,0.043923173,0.040337995,0.040337995	123.37332153320312,122.93054962158203,122.93054962158203,123.37332153320312,123.37332153320312	0,0,306,598,873	0,1,0,1,2	0,2,0,2,4	0,14,2,14,18	2600.json
3050	4,4,4,4,4,4	0.5855751037597656,0.6868931651115417,0.6868931651115417,0.6868931651115417,0.6868931651115417,0.6923680305480957	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	4.0,4.0,4.0,4.0,4.0,4.0	0,0,0,0,0,0	0,0,0,0,0,0	13.0,13.0,13.0,13.0,13.0,13.0	2.0,2.0,2.0,2.0,2.0,2.0	16.0,16.0,16.0,16.0,16.0,16.0	4.0,4.0,4.0,4.0,4.0,4.0	15.0,15.0,15.0,15.0,15.0,15.0	20.0,20.0,20.0,20.0,20.0,20.0	78.13781,78.13781,78.13781,78.13781,78.13781,78.13781	13.0,13.0,13.0,13.0,13.0,13.0	1015.7915,1015.7915,1015.7915,1015.7915,1015.7915,1015.7915	56.43286,56.43286,56.43286,56.43286,56.43286,56.43286	0.026045937,0.026045937,0.026045937,0.026045937,0.026045937,0.026045937	125.64796447753906,125.64796447753906,125.64796447753906,125.64796447753906,125.64796447753906,125.64796447753906	0,102,158,558,1132,2609	0,1,0,0,0,1	0,2,0,0,0,2	0,4,0,0,0,5	2344.json
483	3	0.16412495076656342	0	0	0	1	3.77	0	0	11.0	4.0	16.0	4.0	15.0	20.0	78.13781	5.5	429.75797	23.875443	0.026045937	130.30841064453125	0	0	0	0	3028.json
3996	7,7,7,7,7	0.41001465916633606,0.41001465916633606,0.41001465916633606,0.44601017236709595,0.44601017236709595	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	3,3,3,3,3	5.11,5.11,5.11,5.11,5.11	1,1,1,1,1	1,1,1,1,1	18.0,18.0,18.0,18.0,18.0	7.0,7.0,7.0,7.0,7.0	31.0,31.0,31.0,31.0,31.0	12.0,12.0,12.0,12.0,12.0	25.0,25.0,25.0,25.0,25.0	43.0,43.0,43.0,43.0,43.0	199.6858,199.6858,199.6858,199.6858,199.6858	15.428572,15.428572,15.428572,15.428572,15.428572	3080.8667,3080.8667,3080.8667,3080.8667,3080.8667	171.15926,171.15926,171.15926,171.15926,171.15926	0.06656194,0.06656194,0.06656194,0.06656194,0.06656194	111.24317932128906,111.24317932128906,111.24317932128906,111.24317932128906,111.24317932128906	0,588,943,1504,2078	0,0,0,0,0	0,0,0,0,0	0,0,0,6,0	4345.json
3562	3,3,3,3,3,3,3,3	0.6943396925926208,0.6943396925926208,0.6943396925926208,0.6943396925926208,0.6943396925926208,0.6943396925926208,0.6943396925926208,0.6943396925926208	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0	12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0	41.51318,41.51318,41.51318,41.51318,41.51318,41.51318,41.51318,41.51318	4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5	186.80931,186.80931,186.80931,186.80931,186.80931,186.80931,186.80931,186.80931	10.378295,10.378295,10.378295,10.378295,10.378295,10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,32,154,509,702,985,1070,1644	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	364.json
663	3	0.639796257019043	0	0	0	1	3.77	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	132.9956512451172	0	0	0	0	2194.json
1862	3,3,3	0.12428713589906693,0.6393394470214844,0.6206825971603394	2,0,0	1,0,0	3,0,0	2,1,1	3.77,3.77,3.77	0,0,0	0,0,0	15.0,12.0,12.0	3.0,3.0,3.0	20.0,13.0,13.0	7.0,4.0,4.0	18.0,15.0,15.0	27.0,17.0,17.0	112.58798,66.41714,66.41714	17.5,8.0,8.0	1970.2897,531.3371,531.3371	109.46054,29.518728,29.518728	0.037529327,0.022139046,0.022139046	128.17906188964844,131.1535186767578,131.1535186767578	0,178,365	0,2,3	0,4,6	0,61,3	397.json
355	15	0.0012366219889372587	0	0	0	2	12.21	1	10	27.0	6.0	64.0	13.0	33.0	77.0	388.41833	29.250002	11361.237	631.1799	0.12947278	95.66675567626953	0	0	0	0	4853.json
1327	3	0.703563928604126	0	0	0	1	3.77	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	0	1949.json
2625	12,12,12,12,12,12,12,12,12,12,12,12,12	2.3922653053887188E-4,2.3922653053887188E-4,2.188210200984031E-4,2.494637737981975E-4,2.494637737981975E-4,2.3286942450795323E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0	1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2,2,2,2,2,2	4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62	1,1,1,1,1,1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2,2,2,2,2,2	27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,29.0,30.0,29.0,29.0	10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,11.0,12.0,12.0	76.0,76.0,76.0,76.0,76.0,76.0,79.0,79.0,80.0,79.0,82.0,84.0,84.0	28.0,28.0,28.0,28.0,28.0,28.0,30.0,30.0,31.0,29.0,29.0,33.0,33.0	37.0,37.0,37.0,37.0,37.0,37.0,39.0,39.0,40.0,40.0,41.0,41.0,41.0	104.0,104.0,104.0,104.0,104.0,104.0,109.0,109.0,111.0,108.0,111.0,117.0,117.0	541.7832,541.7832,541.7832,541.7832,541.7832,541.7832,576.1088,576.1088,590.734,574.76825,594.6883,626.8336,626.8336	37.8,37.8,37.8,37.8,37.8,37.8,38.18182,38.18182,36.166664,38.227276,39.545456,39.875,39.875	20479.404,20479.404,20479.404,20479.404,20479.404,20479.404,21996.883,21996.883,21364.879,21971.824,23517.219,24994.99,24994.99	1137.7446,1137.7446,1137.7446,1137.7446,1137.7446,1137.7446,1222.0491,1222.0491,1186.9377,1220.6569,1306.5122,1388.6106,1388.6106	0.1805944,0.1805944,0.1805944,0.1805944,0.1805944,0.1805944,0.19203627,0.19203627,0.19691133,0.19158942,0.19822943,0.20894454,0.20894454	97.55120849609375,97.55120849609375,97.55120849609375,97.55120849609375,97.55120849609375,97.55120849609375,97.23177337646484,97.23177337646484,97.10140991210938,97.24388122558594,97.06671905517578,96.79296875,96.79296875	0,48,132,132,133,183,275,707,1022,1157,1424,1428,2218	0,0,1,1,0,1,2,0,1,1,1,4,3	0,0,2,2,0,2,4,0,2,2,2,8,6	0,0,14,8,0,15,54,0,6,9,3,50,36	330.json
2688	4,4,4	0.2763509154319763,0.2763509154319763,0.2763509154319763	0,0,0	0,0,0	0,0,0	1,1,1	4.0,4.0,4.0	0,0,0	1,1,1	13.0,13.0,13.0	3.0,3.0,3.0	16.0,16.0,16.0	4.0,4.0,4.0	16.0,16.0,16.0	20.0,20.0,20.0	80.0,80.0,80.0	8.666667,8.666667,8.666667	693.3334,693.3334,693.3334	38.51852,38.51852,38.51852	0.026666667,0.026666667,0.026666667	125.5254898071289,125.5254898071289,125.5254898071289	0,196,770	0,0,0	0,0,0	0,0,0	2279.json
420	3	0.6686976552009583	0	0	0	1	3.77	0	1	12.0	2.0	14.0	3.0	14.0	17.0	64.72504	9.0	582.5253	32.36252	0.021575011	131.28770446777344	0	0	0	0	5313.json
524	6,6	0.4455784559249878,0.742150604724884	1,1	1,1	2,2	2,2	5.5,5.5	1,1	1,1	15.0,15.0	3.0,4.0	21.0,22.0	4.0,5.0	18.0,19.0	25.0,27.0	104.24813,114.694046	10.0,9.375	1042.4813,1075.2567	57.91563,59.736485	0.034749378,0.03823135	117.35027313232422,116.85369873046875	0,110	0,3	0,6	0,39	5578.json
305	2,8	0.9058294892311096,0.7881589531898499	0,1	0,1	0,2	1,2	3.77,4.53	0,1	0,4	9.0,18.0	1.0,2.0	10.0,31.0	1.0,5.0	10.0,20.0	11.0,36.0	36.541206,155.58942	4.5,22.5	164.43542,3500.762	9.135302,194.48677	0.012180402,0.051863138	140.82913208007812,110.60749816894531	0,4	0,8	0,9	0,155	5723.json
1505	16	0.6008222103118896	7	5	12	5	4.8	1	4	21.0	7.0	60.0	16.0	28.0	76.0	365.35898	24.000002	8768.616	487.14536	0.121786326	94.24948120117188	0	0	0	0	6683.json
1117	3,3,3,3	0.13849128782749176,0.7423838376998901,0.767255425453186,0.7498454451560974	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,4.0,4.0,4.0	0,0,0,0	1,1,1,1	15.0,15.0,15.0,15.0	4.0,4.0,4.0,4.0	20.0,20.0,20.0,20.0	6.0,6.0,6.0,6.0	19.0,19.0,19.0,19.0	26.0,26.0,26.0,26.0	110.44612,110.44612,110.44612,110.44612	11.25,11.25,11.25,11.25	1242.5189,1242.5189,1242.5189,1242.5189	69.02883,69.02883,69.02883,69.02883	0.036815375,0.036815375,0.036815375,0.036815375	128.50894165039062,128.50894165039062,128.50894165039062,128.50894165039062	0,0,255,301	0,2,1,2	0,3,2,4	0,64,9,18	1501.json
2682	3,3,3,3,3,3,3	0.44252026081085205,0.44252026081085205,0.44252026081085205,0.44252026081085205,0.44252026081085205,0.44252026081085205,0.1859164983034134	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0	0,0,0,0,0,0,1	9.0,9.0,9.0,9.0,9.0,9.0,10.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0,10.0,10.0,13.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0,11.0,11.0,12.0	12.0,12.0,12.0,12.0,12.0,12.0,15.0	41.51318,41.51318,41.51318,41.51318,41.51318,41.51318,53.77444	4.5,4.5,4.5,4.5,4.5,4.5,5.0	186.80931,186.80931,186.80931,186.80931,186.80931,186.80931,268.8722	10.378295,10.378295,10.378295,10.378295,10.378295,10.378295,14.937344	0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.017924814	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,132.25152587890625	0,129,148,149,190,764,2079	0,0,0,0,0,0,1	0,0,0,0,0,0,2	0,0,0,0,0,0,21	1431.json
