Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
4820	4,3,3,3	0.6073333621025085,0.5746802091598511,0.3373711407184601,0.3373711407184601	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.46,1.89,1.89,1.89	0,0,0,0	2,1,1,1	13.0,12.0,12.0,12.0	3.0,3.0,3.0,3.0	16.0,14.0,16.0,16.0	3.0,3.0,3.0,3.0	16.0,15.0,15.0,15.0	19.0,17.0,19.0,19.0	76.0,66.41714,74.23092,74.23092	6.5,6.0,6.0,6.0	494.0,398.5028,445.3855,445.3855	27.444445,22.139046,24.743639,24.743639	0.025333334,0.022139046,0.024743639,0.024743639	125.79222106933594,131.1535186767578,130.57513427734375,130.57513427734375	0,0,11,1505	0,3,1,0	0,7,2,0	0,31,17,0	3933.json
2543	3	0.8819705247879028	0	0	0	1	1.89	0	1	13.0	1.0	14.0	1.0	14.0	15.0	57.110325	6.5	371.2171	20.623173	0.019036775	131.9385528564453	0	0	0	0	2163.json
859	3	0.9221664667129517	0	0	0	1	1.89	0	0	9.0	3.0	10.0	3.0	12.0	13.0	46.604515	4.5	209.72032	11.651129	0.015534839	132.9956512451172	0	0	0	0	222.json
4809	10,10,10	0.22190618515014648,0.22190618515014648,0.13176840543746948	1,1,1	1,1,1	2,2,2	2,2,2	4.08,4.08,4.08	2,2,2	4,4,4	25.0,25.0,26.0	6.0,6.0,6.0	48.0,48.0,52.0	15.0,15.0,15.0	31.0,31.0,32.0	63.0,63.0,67.0	312.11438,312.11438,335.0	31.25,31.25,32.5	9753.574,9753.574,10887.5	541.86523,541.86523,604.8611	0.10403813,0.10403813,0.111666664	103.37259674072266,103.37259674072266,103.00464630126953	0,1494,3160	0,0,2	0,0,4	0,12,29	4200.json
2665	3,3	0.6905946731567383,0.6905946731567383	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	12.0,12.0	2.0,2.0	13.0,13.0	4.0,4.0	14.0,14.0	17.0,17.0	64.72504,64.72504	12.0,12.0	776.70044,776.70044	43.150024,43.150024	0.021575011,0.021575011	131.28770446777344,131.28770446777344	0,13	0,0	0,0	0,0	2030.json
2680	30,38,38,38,38,38,12,12,12,4	1.3400499301496893E-4,0.0,0.0,0.0,0.0,0.0,0.0606340691447258,0.04693029820919037,0.058022093027830124,0.05118889734148979	4,6,6,6,6,6,1,1,1,0	4,6,6,6,6,6,1,1,1,0	8,12,12,12,12,12,2,2,2,0	4,6,6,6,6,6,2,2,2,1	6.7,6.41,3.2,3.2,3.2,3.2,3.52,3.52,3.52,3.32	1,2,2,2,2,2,0,0,0,0	6,6,6,6,6,6,4,4,4,1	36.0,41.0,41.0,41.0,41.0,41.0,28.0,29.0,29.0,17.0	35.0,39.0,39.0,39.0,39.0,39.0,18.0,19.0,18.0,7.0	169.0,197.0,197.0,197.0,197.0,197.0,76.0,81.0,79.0,27.0	74.0,90.0,90.0,90.0,90.0,90.0,29.0,30.0,29.0,11.0	71.0,80.0,80.0,80.0,80.0,80.0,46.0,48.0,47.0,24.0	243.0,287.0,287.0,287.0,287.0,287.0,105.0,111.0,108.0,38.0	1494.3885,1814.3933,1814.3933,1814.3933,1814.3933,1814.3933,579.974,619.93085,599.89557,174.22858	38.057144,47.307693,47.307693,47.307693,47.307693,47.307693,22.555557,22.894737,23.361113,13.357142	56872.16,85834.766,85834.766,85834.766,85834.766,85834.766,13081.637,14193.154,14014.228,2327.1958	3159.5645,4768.598,4768.598,4768.598,4768.598,4768.598,726.75757,788.50854,778.5682,129.28865	0.49812952,0.6047978,0.6047978,0.6047978,0.6047978,0.6047978,0.19332467,0.20664361,0.1999652,0.05807619	76.97134399414062,71.6728744506836,71.6728744506836,71.6728744506836,71.6728744506836,71.6728744506836,97.1969985961914,96.85054779052734,97.0213851928711,121.47811889648438	0,63,136,140,154,158,158,728,994,2063	0,19,0,2,2,0,2,1,1,2	0,25,0,4,4,0,42,2,2,18	0,472,460,8,3,0,1338,20,8,539	1945.json
1421	6	0.12364616990089417	1	1	2	2	2.75	1	3	18.0	8.0	30.0	9.0	26.0	39.0	183.31715	10.125	1856.0862	103.1159	0.061105717	114.4151611328125	0	0	0	0	953.json
1659	3	0.6682950854301453	0	0	0	1	1.89	0	1	11.0	2.0	13.0	2.0	13.0	15.0	55.506596	5.5	305.2863	16.96035	0.018502198	132.086669921875	0	0	0	0	1757.json
1421	7	0.08422525227069855	1	1	2	2	2.56	1	3	19.0	9.0	35.0	14.0	28.0	49.0	235.5604	14.777778	3481.059	193.39217	0.078520134	110.61402893066406	0	0	0	0	947.json
2223	3	0.03391440212726593	0	0	0	1	3.77	0	3	15.0	5.0	21.0	6.0	20.0	27.0	116.692055	9.0	1050.2285	58.346027	0.03889735	128.22288513183594	0	0	0	0	2580.json
4639	3,3,3,3	0.6835629343986511,0.7566012740135193,0.7566012740135193,0.7074223160743713	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	15.0,15.0,15.0,15.0	3.0,3.0,3.0,3.0	17.0,17.0,17.0,17.0	3.0,3.0,3.0,3.0	18.0,18.0,18.0,18.0	20.0,20.0,20.0,20.0	83.398506,83.398506,83.398506,83.398506	7.5,7.5,7.5,7.5	625.4888,625.4888,625.4888,625.4888	34.749374,34.749374,34.749374,34.749374	0.027799502,0.027799502,0.027799502,0.027799502	129.9696044921875,129.9696044921875,129.9696044921875,129.9696044921875	0,9,1324,2021	0,1,0,1	0,2,0,2	0,25,0,26	3864.json
2753	3,3,3,3	0.03208848461508751,0.1754472851753235,0.010743306018412113,0.061788324266672134	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,1.89	0,0,0,0	2,2,2,2	13.0,13.0,14.0,14.0	4.0,3.0,4.0,3.0	17.0,16.0,19.0,18.0	5.0,4.0,5.0,4.0	17.0,16.0,18.0,17.0	22.0,20.0,24.0,22.0	89.92419,80.0,100.0782,89.92419	8.125,8.666667,8.75,9.333334	730.63403,693.3334,875.68427,839.2925	40.59078,38.51852,48.649124,46.62736	0.029974729,0.026666667,0.0333594,0.029974729	129.57785034179688,130.18594360351562,129.0215301513672,129.57785034179688	0,37,77,214	0,1,1,3	0,2,2,6	0,6,11,35	651.json
4820	7,15,15,15,15,15	0.832096517086029,0.12944437563419342,0.12944437563419342,0.12944437563419342,0.12944437563419342,0.12944437563419342	1,3,3,3,3,3	1,3,3,3,3,3	2,6,6,6,6,6	2,3,3,3,3,3	3.33,3.54,3.54,3.54,3.54,3.54	1,2,2,2,2,2	1,4,4,4,4,4	13.0,21.0,21.0,21.0,21.0,21.0	5.0,6.0,6.0,6.0,6.0,6.0	21.0,47.0,47.0,47.0,47.0,47.0	7.0,17.0,17.0,17.0,17.0,17.0	18.0,27.0,27.0,27.0,27.0,27.0	28.0,64.0,64.0,64.0,64.0,64.0	116.757904,304.3128,304.3128,304.3128,304.3128,304.3128	9.099999,29.75,29.75,29.75,29.75,29.75	1062.4968,9053.306,9053.306,9053.306,9053.306,9053.306	59.027603,502.96143,502.96143,502.96143,502.96143,502.96143	0.0389193,0.1014376,0.1014376,0.1014376,0.1014376,0.1014376	114.26372528076172,96.70569610595703,96.70569610595703,96.70569610595703,96.70569610595703,96.70569610595703	0,258,1035,1035,1167,1505	0,12,0,0,0,0	0,16,0,0,0,0	0,293,0,0,0,0	90.json
1075	6	0.6998834609985352	3	3	6	4	1.89	0	4	21.0	5.0	43.0	7.0	26.0	50.0	235.022	14.7	3454.8235	191.93463	0.078340665	112.66316223144531	0	0	0	0	2549.json
