Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2984	4,4,4,4,4	0.1808609962463379,0.1808609962463379,0.1808609962463379,0.1808609962463379,0.1808609962463379	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	4.0,4.0,4.0,4.0,4.0	0,0,0,0,0	1,1,1,1,1	0,10,92,492,1066	0,1,0,0,0	0,2,0,0,0	0,5,0,0,0	2514.json
581	8,8	0.04829626530408859,0.04320746287703514	2,2	1,1	3,3	2,2	5.66,5.66	1,1	3,3	0,129	0,1	0,2	0,10	5914.json
2540	3,3,3,3,3,3	0.23251034319400787,0.23251034319400787,0.23251034319400787,0.23251034319400787,0.23251034319400787,0.25354787707328796	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0	1,1,1,1,1,1	0,1,16,48,622,863	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,2	6256.json
272	8,8,8	0.0660492330789566,0.0660492330789566,0.11763273924589157	0,0,0	0,0,0	0,0,0	2,2,2	5.66,5.66,5.66	1,1,1	2,2,2	0,0,0	0,0,3	0,0,6	0,0,67	6961.json
602	3,3,3,3	0.7575764060020447,0.7575764060020447,0.7575764060020447,0.7260584831237793	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	0,99,99,182	0,0,0,3	0,0,0,6	0,0,0,11	5395.json
1350	3	0.5672349333763123	0	0	0	1	3.77	0	0	0	0	0	0	2605.json
461	3	0.2845776379108429	0	0	0	1	3.77	0	0	0	0	0	0	7161.json
3150	3,3,3,3,3	0.032816626131534576,0.032816626131534576,0.032816626131534576,0.03664866089820862,0.033144522458314896	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	0,0,0,0,1	0,97,658,1232,2569	0,0,0,0,1	0,0,0,0,2	0,0,0,2,25	2870.json
1407	3,3,3	0.16627298295497894,0.06370449811220169,0.004255746956914663	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,2,2	0,287,825	0,2,2	0,4,4	0,20,27	3965.json
35	23	0.003375444794073701	4	5	9	5	6.92	2	1	0	0	0	0	2311.json
3021	3,3,3,3,3,3	0.8180685043334961,0.8180685043334961,0.8180685043334961,0.8180685043334961,0.8180685043334961,0.8963242173194885	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0	0,0,0,0,0,0	0,37,129,529,1103,1402	0,0,0,0,0,1	0,0,0,0,0,2	0,0,0,0,0,1	2326.json
3411	3,3,3,3,3	0.006762273143976927,0.006762273143976927,0.006762273143976927,0.006762273143976927,0.006762273143976927	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	0,0,0,0,0	0,3,358,919,1493	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2826.json
1327	3	0.6650850772857666	0	0	0	1	3.77	0	1	0	0	0	0	1947.json
602	6	0.29887300729751587	1	1	2	2	5.5	1	0	0	0	0	0	5971.json
1924	3,3,3,3,3	0.8912587761878967,0.8912587761878967,0.8912587761878967,0.8912587761878967,0.8912587761878967	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	0,0,0,0,0	0,6,247,247,247	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	7090.json
355	3	0.800011157989502	0	0	0	1	3.77	0	0	0	0	0	0	5052.json
503	9	0.028468597680330276	0	0	0	1	15.45	0	7	0	0	0	0	4983.json
