Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1982	3,3,3,3,3,3	0.6046493649482727,0.6046493649482727,0.6999878883361816,0.6999878883361816,0.7349017858505249,0.7349017858505249	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0	2,2,2,2,2,2	0,0,3,3,1110,1132	0,0,1,0,1,0	0,0,2,0,2,0	0,0,8,0,10,0	6362.json
51	3	0.0019690762273967266	0	0	0	1	3.77	0	0	0	0	0	0	11712.json
2474	10,10,10,10,10,10,10,10,10,10,10,6,6,6	0.036393728107213974,0.006469716317951679,0.006469716317951679,0.006469716317951679,0.006469716317951679,0.006469716317951679,0.006469716317951679,0.006469716317951679,0.006469716317951679,0.006469716317951679,0.005974964238703251,0.22782312333583832,0.22782312333583832,0.2160048633813858	2,2,2,2,2,2,2,2,2,2,2,1,1,1	4,4,4,4,4,4,4,4,4,4,4,1,1,1	6,6,6,6,6,6,6,6,6,6,6,2,2,2	5,5,5,5,5,5,5,5,5,5,5,2,2,2	9.87,9.87,9.87,9.87,9.87,9.87,9.87,9.87,9.87,9.87,9.87,5.5,5.5,5.5	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,37,75,75,75,75,93,93,93,100,205,422,1624,2261	0,2,0,0,0,0,0,0,0,0,12,6,0,1	0,4,0,0,0,0,0,0,0,0,24,18,0,2	0,10,0,0,0,0,0,0,0,0,12,333,0,7	11826.json
1100	6,6	0.3844614624977112,0.3844614624977112	3,3	2,2	5,5	2,2	5.5,5.5	1,1	3,3	0,249	0,0	0,0	0,0	2375.json
290	3	0.7196165323257446	0	0	0	1	3.77	0	0	0	0	0	0	966.json
1689	3,3	0.8116399645805359,0.8116399645805359	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,839	0,0	0,0	0,0	370.json
1918	26,44,44,40,37,30	0.0,0.0,0.0,0.0,0.0,0.0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	11.79,9.99,10.3,10.81,13.86,12.69	0,0,0,0,0,0	21,39,38,40,40,40	0,193,193,282,1068,1716	0,18,34,3,0,2	0,18,68,5,0,4	0,868,1020,216,28,168	9046.json
499	6	0.11474510282278061	1	1	2	2	5.5	1	2	0	0	0	0	11932.json
22	8	0.046481430530548096	1	1	2	2	9.59	1	1	0	0	0	0	13116.json
1915	10,10,14,14,14	0.029489688575267792,0.031869132071733475,0.004404796753078699,0.004404796753078699,0.004404796753078699	1,1,1,1,1	2,2,3,3,3	3,3,4,4,4	3,3,4,4,4	8.8,8.8,9.44,9.44,9.44	1,1,1,1,1	3,3,5,5,5	0,628,726,1064,1185	0,0,4,0,0	0,0,4,0,0	0,10,146,0,0	6718.json
