Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2936	3,3,3,3,3	0.753083348274231,0.5383603572845459,0.7662613391876221,0.7781580090522766,0.632834255695343	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	1,1,1,1,1	0,163,177,189,243	0,2,2,2,2	0,4,4,4,4	0,41,38,19,30	17567.json
1239	3	0.24187739193439484	0	0	0	1	1.89	0	2	0	0	0	0	3421.json
1914	3,3	1.1401311348890886E-4,1.1051246110582724E-4	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,1046	0,1	0,2	0,7	11338.json
568	6	0.6406519412994385	2	1	3	2	5.5	1	1	0	0	0	0	4374.json
2543	3,3	0.41719555854797363,0.77113938331604	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,1	0,2	0,4	0,31	7188.json
2196	26	7.092407322488725E-4	0	0	0	3	2.15	1	16	0	0	0	0	431.json
1114	3	0.6078268885612488	0	0	0	1	1.89	0	3	0	0	0	0	18371.json
1081	3	0.7226401567459106	0	0	0	1	1.89	0	1	0	0	0	0	6171.json
1260	4	0.7086126804351807	0	0	0	1	2.0	0	1	0	0	0	0	3796.json
2692	3,3	0.7485119700431824,0.9294784665107727	0,0	0,0	0,0	1,1	1.89,1.89	0,0	2,1	0,1377	0,1	0,2	0,10	16167.json
1272	25,32	0.012500626966357231,0.002066971966996789	9,11	7,9	16,20	7,9	4.64,4.78	4,4	6,7	0,829	0,9	0,9	0,286	14958.json
2323	3	0.9679467082023621	0	0	0	1	1.89	0	1	0	0	0	0	3575.json
2716	3,3	0.9317260980606079,0.9268961548805237	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,942	0,3	0,6	0,12	7359.json
961	3	0.5886239409446716	0	0	0	1	1.89	0	0	0	0	0	0	7760.json
2828	3,3,3,3,3,3,3	0.4673979878425598,0.4447842836380005,0.43853020668029785,0.43853020668029785,0.47168630361557007,0.43853020668029785,0.6696135401725769	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0,0	0,0,0,0,0,0,1	0,0,0,110,111,124,616	0,2,1,0,1,1,1	0,4,2,0,2,2,2	0,2,1,0,4,4,9	8264.json
2947	3,3,3	0.9670782685279846,0.9670782685279846,0.9595469236373901	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	0,12,754	0,2,1	0,4,2	0,3,4	9512.json
792	41,44,45,48	0.0,0.0,0.0,0.0	10,11,11,12	10,11,11,12	20,22,22,24	10,11,11,12	1.96,1.96,1.94,1.94	1,1,1,1	20,21,22,23	0,155,378,387	0,3,1,4	0,3,1,4	0,94,84,125	1490.json
2694	16,55,55,55,54,54,58,51,55,59,75,75,78,80,64,67,81,81,84,85,85,82,89,89,89,94,89,89,94,104,104,107,108	0.0011255652643740177,0.0010153232142329216,0.0011542991269379854,0.0010992841562256217,0.0023414050228893757,0.0017404718091711402,0.0016580404480919242,0.008990488015115261,0.0021597547456622124,6.972569390200078E-4,0.0,0.0,0.0,0.0,1.7931059119291604E-4,1.1117534450022504E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	1,7,7,7,7,7,8,7,8,8,11,11,12,12,9,9,10,10,10,11,11,11,13,13,13,16,13,13,16,17,18,19,19	1,12,12,12,12,12,13,12,13,13,16,16,17,17,14,14,16,16,17,18,18,18,20,20,20,23,20,20,23,25,26,27,28	2,19,19,19,19,19,21,19,21,21,27,27,29,29,23,23,26,26,27,29,29,29,33,33,33,39,33,33,39,42,44,46,47	4,15,15,15,14,14,15,14,15,15,17,17,18,18,16,16,19,19,20,20,20,19,21,21,21,23,21,21,23,24,24,25,25	3.61,6.07,6.07,6.07,5.41,5.41,5.78,5.83,6.28,6.49,6.53,6.53,6.49,6.38,6.39,6.45,5.99,5.98,5.92,5.9,5.9,5.82,5.86,5.86,5.86,5.81,5.86,5.86,5.81,5.88,5.77,5.91,5.89	3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6	14,16,16,17,15,16,17,15,15,17,27,27,27,25,17,17,23,23,24,25,25,24,26,26,25,25,25,26,26,29,30,30,30	0,151,151,153,268,274,434,436,446,463,464,672,672,704,705,801,880,1068,1144,1340,1379,1383,1399,1441,1442,1461,1535,1613,1613,1728,2086,2195,2212	0,56,1,2,17,3,4,4,8,8,21,2,6,13,8,5,18,13,6,5,1,0,19,1,1,13,3,6,13,13,10,10,3	0,69,2,4,33,6,4,14,8,13,21,4,8,22,37,6,19,14,6,7,2,3,24,2,2,16,16,13,16,14,17,11,4	0,1684,7,29,465,36,181,338,422,307,851,8,204,364,962,96,842,1024,311,319,16,97,835,6,28,815,815,120,815,933,816,549,190	14586.json
1121	52,55,40	6.116214790381491E-4,3.470858500804752E-4,0.006288011092692614	8,8,7	14,15,13	22,23,20	12,13,10	3.7,3.85,3.65	3,3,3	24,24,10	0,7,931	0,4,5	0,5,26	0,187,720	9233.json
2212	5,5,5	0.04562915861606598,0.1054902970790863,0.10500773042440414	1,1,1	1,1,1	2,2,2	2,2,2	1.96,1.96,1.96	0,0,0	4,3,3	0,503,1398	0,4,1	0,8,2	0,34,1	16068.json
2969	3,3,4,6,4,4	0.9466171860694885,0.9144536256790161,0.5287908911705017,0.5040480494499207,0.8342700004577637,0.8316078186035156	0,0,0,1,0,0	0,0,0,1,0,0	0,0,0,2,0,0	1,1,1,2,1,1	1.89,1.89,2.0,2.75,2.0,2.0	0,0,0,1,0,0	0,0,2,2,1,1	0,236,373,381,421,2087	0,1,1,3,1,1	0,2,1,4,4,2	0,23,55,43,68,1	7064.json
