Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1601	17,19,19	0.04906309396028519,0.006501462310552597,0.005079187918454409	2,2,2	3,3,3	5,5,5	3,4,4	2.82,10.07,10.07	1,1,1	7,9,10	0,63,70	0,6,1	0,9,2	0,292,11	12381.json
2180	4,4,4,4,4,4,4,4,4	0.5117958784103394,0.5117958784103394,0.5117958784103394,0.4964268207550049,0.4702417254447937,0.48333674669265747,0.5065546631813049,0.5041436553001404,0.48333674669265747	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,2,156,218,387,1014,1102,1529	0,4,4,1,1,1,1,1,1	0,4,4,2,2,2,2,2,2	0,0,0,28,4,10,36,24,34	333.json
1402	22,22,22,11,9	0.30162543058395386,0.2924782335758209,0.2924782335758209,0.2956075966358185,0.23192887008190155	4,4,4,2,2	2,2,2,1,1	6,6,6,3,3	3,3,3,2,2	4.64,4.64,4.64,2.95,2.8	3,3,3,1,1	8,8,8,4,5	0,20,105,622,1288	0,1,1,7,4	0,2,2,27,10	0,5,0,430,197	284.json
3839	8,8,14,7,7,6,11,11	0.14081326127052307,0.14081326127052307,0.0010616908548399806,1.1583217565203086E-4,5.089962505735457E-4,8.025491843000054E-4,0.010125108063220978,0.010125108063220978	2,2,2,0,0,0,2,2	1,1,1,0,0,0,1,1	3,3,3,0,0,0,3,3	2,2,2,1,1,1,2,2	2.95,2.95,2.29,1.98,1.98,2.0,2.95,2.95	1,1,1,0,0,0,1,1	1,1,11,6,4,3,1,1	0,127,317,317,403,836,1794,1810	0,0,14,2,1,0,8,0	0,0,19,15,2,1,11,0	0,0,343,266,41,50,133,0	5979.json
1873	6,9,10,10	0.0017132204957306385,0.011370142921805382,0.005630615632981062,0.0038432280998677015	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	2.0,12.83,13.32,13.32	0,0,0,0	2,2,2,2	0,36,477,1816	0,4,3,2	0,5,5,4	0,106,78,25	2978.json
1339	7	0.8624948263168335	0	0	0	1	1.98	0	2	0	0	0	0	14067.json
1298	9,13	0.6307024359703064,0.34211254119873047	2,5	2,4	4,9	3,5	2.95,2.72	0,0	3,3	0,119	0,8	0,8	0,268	4512.json
2234	22	0.007012862712144852	1	1	2	2	3.04	1	9	0	0	0	0	10881.json
120	4	0.6447956562042236	0	0	0	1	1.73	0	0	0	0	0	0	4160.json
1787	4	0.6847279667854309	0	0	0	1	1.73	0	0	0	0	0	0	19201.json
1781	4	0.11969223618507385	0	0	0	1	1.73	0	1	0	0	0	0	8668.json
1816	7,7	0.03569800406694412,0.03569800406694412	1,1	1,1	2,2	2,2	2.8,2.8	0,0	2,2	0,490	0,0	0,0	0,0	5914.json
2351	7	0.5069615840911865	2	1	3	2	3.33	0	3	0	0	0	0	8688.json
1093	12	0.11925637722015381	1	2	3	3	4.11	0	3	0	0	0	0	18207.json
2365	17,17,17,17,4	0.014265503734350204,0.02533051371574402,0.02544410713016987,0.025465471670031548,0.8268616795539856	2,2,2,2,0	2,2,2,2,0	4,4,4,4,0	5,5,5,5,1	4.35,4.35,4.35,4.35,1.73	2,2,2,2,0	3,3,4,3,1	0,18,57,159,880	0,1,1,1,2	0,2,2,2,16	0,4,19,11,417	17979.json
651	4,1	0.07957170158624649,0.9257628917694092	0,0	0,0	0,0	1,1	1.73,0.0	0,0	0,0	0,14	0,1	0,5	0,32	11108.json
3208	24,24,24,28,28,12	2.852962934412062E-4,3.021035226993263E-4,3.131193225272E-4,0.0,0.0,5.739512271247804E-4	1,2,2,2,2,1	3,3,3,3,3,1	4,5,5,5,5,2	4,4,4,4,4,2	3.75,3.75,3.75,3.68,3.68,2.21	2,2,2,2,2,0	8,8,8,23,24,7	0,50,334,1288,1301,1364	0,1,1,13,1,5	0,2,2,21,2,28	0,9,19,457,27,830	6961.json
2564	1,1	0.9644891023635864,0.9900364279747009	0,0	0,0	0,0	1,1	0.0,0.0	0,0	1,1	0,2198	0,1	0,2	0,12	21987.json
2351	4,4	0.6580140590667725,0.7601138353347778	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	0,542	0,4	0,8	0,41	16108.json
1809	4,4	0.05750034376978874,0.13732005655765533	1,1	1,1	2,2	2,2	1.73,1.73	0,0	0,0	0,303	0,4	0,8	0,40	13830.json
1794	7	0.0759863331913948	1	1	2	2	2.8	0	1	0	0	0	0	8686.json
1990	3,1,3	0.8527795076370239,0.9763230681419373,0.14817968010902405	0,0,0	0,0,0	0,0,0	1,1,1	0.0,0.0,0.0	0,0,0	0,0,0	0,3,759	0,1,1	0,1,2	0,9,55	19806.json
1298	4	0.001741813961416483	0	0	0	1	1.73	0	3	0	0	0	0	16430.json
2745	4,4,4,4	2.1209065744187683E-4,2.479633840266615E-4,2.695502480491996E-4,0.0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.73,1.73,1.73,1.73	0,0,0,0	0,0,1,1	0,65,706,1447	0,2,1,1	0,4,2,2	0,32,10,6	5395.json
